"id";"ven_id";"closing_price";"closing_time";"created_at";"updated_at";"opening_time"
1;0;0.00552999;1516325408685;"2018-01-20 13:07:38";"2018-01-20 14:36:10";1516325400000
2;0;0.00551189;1516325706712;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516325700000
3;0;0.00551207;1516326006190;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516326000000
4;0;0.0055449;1516326304169;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516326300000
5;0;0.00553013;1516326605750;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516326600000
6;0;0.0055239;1516326907074;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516326900000
7;0;0.00548016;1516327207636;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516327200000
8;0;0.0055186;1516327502940;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516327500000
9;0;0.00550001;1516327808000;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516327800000
10;0;0.00550683;1516328103202;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516328100000
11;0;0.00552999;1516328405283;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516328400000
12;0;0.00549;1516328715329;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516328700000
13;0;0.00542503;1516329021258;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516329000000
14;0;0.00543642;1516329315225;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516329300000
15;0;0.00543469;1516329614000;"2018-01-20 13:07:38";"2018-01-20 13:07:38";1516329600000
16;0;0.00542998;1516329912425;"2018-01-20 13:07:38";"2018-01-20 14:24:06";1516329900000
17;0;0.00540901;1516330211808;"2018-01-20 13:07:38";"2018-01-20 14:28:51";1516330200000
18;0;0.0054;1516330554988;"2018-01-20 13:07:38";"2018-01-20 14:28:51";1516330500000
19;0;0.00536001;1516330822120;"2018-01-20 13:07:38";"2018-01-20 14:28:51";1516330800000
20;0;0.00536022;1516331114370;"2018-01-20 13:07:38";"2018-01-20 14:28:51";1516331100000
21;0;0.00533;1516331426056;"2018-01-20 13:07:38";"2018-01-20 14:28:51";1516331400000
22;0;0.00525;1516331744293;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516331700000
23;0;0.00533893;1516332034952;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516332000000
24;0;0.005346;1516332314245;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516332300000
25;0;0.00544996;1516332625806;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516332600000
26;0;0.00542626;1516332908416;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516332900000
27;0;0.00539705;1516333209856;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516333200000
28;0;0.00539915;1516333509211;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516333500000
29;0;0.00541757;1516333805585;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516333800000
30;0;0.00537588;1516334112309;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516334100000
31;0;0.00538683;1516334413227;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516334400000
32;0;0.00538689;1516334705267;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516334700000
33;0;0.00539997;1516335004798;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516335000000
34;0;0.00536;1516335303939;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516335300000
35;0;0.00532001;1516335608303;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516335600000
36;0;0.0054099;1516335914918;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516335900000
37;0;0.00538999;1516336202083;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516336200000
38;0;0.00536224;1516336503871;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516336500000
39;0;0.005395;1516336809069;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516336800000
40;0;0.00540999;1516337109625;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516337100000
41;0;0.00542496;1516337406392;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516337400000
42;0;0.00543774;1516337707606;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516337700000
43;0;0.00545002;1516338006645;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516338000000
44;0;0.00546743;1516338308729;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516338300000
45;0;0.00544304;1516338608980;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516338600000
46;0;0.00549906;1516338907249;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516338900000
47;0;0.00545;1516339218517;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516339200000
48;0;0.00542293;1516339520321;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516339500000
49;0;0.00541999;1516339816134;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516339800000
50;0;0.00544998;1516340108465;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516340100000
51;0;0.00544226;1516340411943;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516340400000
52;0;0.0054595;1516340703160;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516340700000
53;0;0.00545929;1516341007931;"2018-01-20 13:07:38";"2018-01-20 14:28:52";1516341000000
